No_,Name,Search Name,Name 2,Address,Address 2,City,Contact,Phone No_,Telex No_,Document Sending Profile,Ship-to Code,Our Account No_,Territory Code,Global Dimension 1 Code,Global Dimension 2 Code,Chain Name,Budgeted Amount,Credit Limit (LCY),Customer Posting Group,Currency Code,Customer Price Group,Language Code,Registration Number,Statistics Group,Payment Terms Code,Fin_ Charge Terms Code,Salesperson Code,Shipment Method Code,Shipping Agent Code,Place of Export,Invoice Disc_ Code,Customer Disc_ Group,Country_Region Code,Collection Method,Amount,Blocked,Invoice Copies,Last Statement No_,Print Statements,Bill-to Customer No_,Priority,Payment Method Code,Format Region,Last Modified Date Time,Last Date Modified,Application Method,Prices Including VAT,Location Code,Fax No_,Telex Answer Back,VAT Registration No_,Combine Shipments,Gen_ Bus_ Posting Group,Picture,GLN,Post Code,County,EORI Number,Use GLN in Electronic Document,E-Mail,Home Page,Reminder Terms Code,No_ Series,Tax Area Code,Tax Liable,VAT Bus_ Posting Group,Reserve,Block Payment Tolerance,IC Partner Code,Prepayment _,Partner Type,Intrastat Partner Type,Exclude from Pmt_ Practices,Image,Privacy Blocked,Disable Search by Name,Allow Multiple Posting Groups,Preferred Bank Account Code,Coupled to CRM,Cash Flow Payment Terms Code,Primary Contact No_,Contact Type,Mobile Phone No_,Responsibility Center,Shipping Advice,Shipping Time,Shipping Agent Service Code,Service Zone Code,Price Calculation Method,Allow Line Disc_,Base Calendar Code,Copy Sell-to Addr_ to Qte From,Validate EU Vat Reg_ No_,Id,Currency Id,Payment Terms Id,Shipment Method Id,Payment Method Id,Tax Area ID,Contact ID,Contact Graph Id,$systemId,$systemCreatedAt,$systemCreatedBy,$systemModifiedAt,$systemModifiedBy
38066TN,ห้างหุ้นส่วนจำกัด ศิวพล ฮาร์ดแวร์,ห้างหุ้นส่วนจำกัด ศิวพล ฮาร์ดแวร์,,92 ซอยร่วมจิตร ถนนอำนวยสงคราม,,เขตดุสิต,,,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20117,1,,,38066TN,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.747+00,2024-06-05 00:00:00+00,0,0,,,,0103546002040,0,R,,,10300,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,570D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.683+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.753+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
38067TJ,บริษัท ศรีกรุงเครื่องเย็น จำกัด,บริษัท ศรีกรุงเครื่องเย็น จำกัด,,"3037/3-6 ถนน สุขุมวิท ",,เขตพระโขนง,,,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20006,1,,,38067TJ,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.777+00,2024-06-05 00:00:00+00,0,0,,,,0105535011435,0,R,,,10260,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,5D0D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.69+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.78+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
38069TS,บริษัท ศรีรัตนการช่าง จำกัด,บริษัท ศรีรัตนการช่าง จำกัด,,63/312 หมู่ที่ 6,,อำเภอบางใหญ่,,02-9263252-4,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,10387,1,,,38069TS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.8+00,2024-06-05 00:00:00+00,0,0,,02-9263250,,0125552009184,0,,,,11140,จังหวัดนนทบุรี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,630D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.697+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.807+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
38070TP,นาง ศิวภา แสงไว,นาง ศิวภา แสงไว,,"181 หมู่ที่ 2 ",,อำเภอเมืองร้อยเอ็ด,,098-259-3144,,,,,TP,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20939,1,,,38070TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.827+00,2024-06-05 00:00:00+00,0,0,,,,,0,,,,45000,จังหวัดร้อยเอ็ด,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,690D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.703+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.83+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
38071TP,นาย ศิริชัย ศรุตานนท์,นาย ศิริชัย ศรุตานนท์,,19/414 หมู่ที่ 1,,เขตบางแค,,081-452-1257,,,,,BANGKOK,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20939,1,,,38071TP,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.847+00,2024-06-05 00:00:00+00,0,0,,,,3102201069041,0,,,,10160,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,6F0D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.707+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.853+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
39001CB,ห้างหุ้นส่วนจำกัด ษ.ธัญญะผล,ห้างหุ้นส่วนจำกัด ษ.ธัญญะผล,,139/29 หมู่ที่ 4,,อำเภอศรีราชา,,,,,,,EASTERN,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20627,1,,,39001CB,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.87+00,2024-06-05 00:00:00+00,0,0,,,,0203553001991,0,S,,,20110,จังหวัดชลบุรี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,750D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.713+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.877+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001BS,ห้างหุ้นส่วนจำกัด ส.สระบุรีมิทอล,ห้างหุ้นส่วนจำกัด ส.สระบุรีมิทอล,,9/9  หมู่ที่ 2,,อำเภอเมืองสระบุรี,คุณชาญณรงค์ ยิ่งยงสกุลไพบูลย์,036-220449,,,,,CENTRAL,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20712,2,,,40001BS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.897+00,2024-06-05 00:00:00+00,0,0,,036-318072,,0193538001838,0,W,,,18000,จังหวัดสระบุรี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,036-220449,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,7B0D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.72+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.903+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001CB,บริษัท สิงห์คำรณประดิษฐ์ภัณฑ์ จำกัด,บริษัท สิงห์คำรณประดิษฐ์ภัณฑ์ จำกัด,,158-158/1  หมู่ที่9,,อำเภอสัตหีบ,คุณสิงห์คำรณ  กุตโต,"0-3843-5673,08-3927-1388",,,,,EASTERN,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20269,2,,,40001CB,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.92+00,2024-06-05 00:00:00+00,0,0,,0-3843-5673,,0205549022034,0,P,,,20250,จังหวัดชลบุรี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,08-1863-6029,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,810D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.727+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.93+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001CR,ร้าน แสงสากล,ร้าน แสงสากล,,112/17 ถนนพหลโยธิน,,อำเภอเมืองเชียงราย,คุณดนัย ลิกิติกุล,053 711-810,,,,,NORTH,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20037,1,,,40001CR,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.947+00,2024-06-05 00:00:00+00,0,0,,,,3579900249186,0,W,,,57000,จังหวัดเชียงราย,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,053 711-810,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,870D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.733+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.953+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001HY,ร้าน สหมิตรกระจกอลูมิเนียม,ร้าน สหมิตรกระจกอลูมิเนียม,,165 ถนนพิชิตบำรุง,,อำเภอเมืองนราธิวาส,คุณบูรณศิริ แซ่เค่า,"073-511034,073-512138",,,,,SOUTHERN,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20771,2,,,40001HY,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:50.97+00,2024-06-05 00:00:00+00,0,0,,073-512138,,3969900308197,0,W,,,96000,จังหวัดนราธิวาส,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,073-513274,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,8D0D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.737+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:50.977+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001NS,ร้าน สุนทรการช่าง,ร้าน สุนทรการช่าง,,492 หมูที่5,,อำเภอปางศิลาทอง,คุณสุนทร  มาประเสริฐ,085-269-3752,,,,,NORTH,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20084,1,,,40001NS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51+00,2024-06-05 00:00:00+00,0,0,,,,,0,S,,,62120,จังหวัดกำแพงเพชร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,930D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.743+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.01+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001PC,ร้าน สามร้อยยอดกระจก & อลูมิเนียม,ร้าน สามร้อยยอดกระจก & อลูมิเนียม,,109/2 หมู่ที่ 3 ถนนเพชรเกษม,,อำเภอสามร้อยยอด,คุณนิลัดดา โพธิรัชต์,"032 688-479, 081 735-3692",,,,,CENTRAL,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,60,,,1,,,40001PC,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.033+00,2024-06-05 00:00:00+00,0,0,,032 688-025,,3770600404763,0,W,,,77180,จังหวัดประจวบคีรีขันธ์,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"032 688-479, 081 735-3692",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,971438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,990D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.75+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.047+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001PC-2,นางสาวลลิตา ใจตรง,นางสาวลลิตา ใจตรง,,"109/2 หมู่ที่ 8 ",,"อำเภอสามร้อยยอด ",,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,40001PC-2,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.073+00,2024-06-05 00:00:00+00,0,0,,,,1740300075466,0,,,,,"จังหวัดประจวบคีรีขันธ์ ",,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,9F0D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.757+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.077+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001PK,ห้างหุ้นส่วนจำกัด สินเจริญอลูมินั่มภูเก็ต,ห้างหุ้นส่วนจำกัด สินเจริญอลูมินั่มภูเก็ต,,99/41 ถนนเฉลิมพระเกียรติ ร.9 หมู่ที่ 5,,อำเภอเมืองภูเก็ต,คุณเจริญ  พจนารถโกมล,"076-215-456,076-218-797",,,,,SOUTHERN,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,45,,20790,2,,,40001PK,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.097+00,2024-06-05 00:00:00+00,0,0,,076-218-797,,0833531000350,0,W,,,83000,จังหวัดภูเก็ต,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"076-215-456,076-218-797",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,941438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,A50D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.763+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.107+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001PK-2,บริษัท สินเจริญเวิลด์กลาส (2002) จำกัด,บริษัท สินเจริญเวิลด์กลาส (2002) จำกัด,,9/39 ถนนเจ้าฟ้า,,อำเภอเมืองภูเก็ต,,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,40001PK-2,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.127+00,2024-06-05 00:00:00+00,0,0,,,,0835545003528,0,,,,,จังหวัดภูเก็ต,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,AB0D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.77+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.127+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001PK-4,บริษัท เจริญอลูมินั่ม ภูเก็ต จำกัด,บริษัท เจริญอลูมินั่ม ภูเก็ต จำกัด,,"185/3 หมู่ที่ 1 ",,อำเภอถลาง,,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,40001PK-4,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.147+00,2024-06-05 00:00:00+00,0,0,,,,0835552006006,0,,,,83110,จังหวัดภูเก็ต,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,B10D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.777+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.147+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001PL,ห้างหุ้นส่วนจำกัด ส.ตากอลูมินั่ม,ห้างหุ้นส่วนจำกัด ส.ตากอลูมินั่ม,,211/6 ซอย 3 ถนนมหาดไทยบำรุง,,อำเภอเมืองตาก,,"055-512095, 01-9712205",,,,,NORTH,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,60,,20232,2,,,40001PL,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.167+00,2024-06-05 00:00:00+00,0,0,,055-512975,,3629900005901,0,R,,,63000,จังหวัดตาก,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,971438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,B70D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.783+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.173+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001PL-8,บริษัท เจี่ยสวัสดิ์ มอเตอร์ไบค์ จำกัด,บริษัท เจี่ยสวัสดิ์ มอเตอร์ไบค์ จำกัด,,223 ถนนอินทรคีรี,,อำเภอแม่สอด,,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,40001PL-8,,,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:27:50.817+00,2024-06-05 00:00:00+00,0,0,,,,0635552000301,0,,,,63110,จังหวัดตาก,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,D6412AB9-E222-EF11-84C2-00505684FB3B,2024-06-05 02:24:28.187+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:27:50.82+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001SB,ห้างหุ้นส่วนจำกัด สุนทร วัสดุสร้างบ้าน,ห้างหุ้นส่วนจำกัด สุนทร วัสดุสร้างบ้าน,,"92 หมู่ที่ 4 ",,อำเภอแก่งคอย,,085-829-8970,,,,,CENTRAL,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,15,,20712,1,,,40001SB,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.19+00,2024-06-05 00:00:00+00,0,0,,,,0193565000235,0,R,,,18110,จังหวัดสระบุรี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,881438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,BD0D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.787+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.197+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001SK,ร้าน สวัสดิ์ อลูมิเนียม,ร้าน สวัสดิ์ อลูมิเนียม,,47/2 ถนนเมืองใหม่,,อำเภอเมืองมุกดาหาร,คุณถนอม ทองนาเมือง,"081 909-5820, 042 611-839",,,,,NORTHEASTE,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20964,2,,,40001SK,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.213+00,2024-06-05 00:00:00+00,0,0,,042 611-839,,3301300238218,0,W,,,49000,จังหวัดมุกดาหาร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"081 909-5820, 042 611-839",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,C30D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.793+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.22+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
40001SK-2,ห้างหุ้นส่วนจำกัด ม่านฟ้า อลูมิเนียมคอมโพสิต,ห้างหุ้นส่วนจำกัด ม่านฟ้า อลูมิเนียมคอมโพสิต,,626 หมู่ที่ 3,,อำเภอเมืองมุกดาหาร,,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,40001SK-2,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:25:51.237+00,2024-06-05 00:00:00+00,0,0,,,,0493565000593,0,,,,49000,จังหวัดมุกดาหาร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,C90D42A7-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:56.8+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:25:51.24+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
